연도,계절,일유형,시간,고객당평균_kWh
2024,겨울,주말,9,0.7376905155320552
2024,겨울,주말,10,0.7715167713152675
2024,겨울,주말,11,0.7657419448116335
2024,겨울,주말,12,0.757390490746862
2024,겨울,주말,13,0.7490468853271656
2024,겨울,주말,14,0.7298043621943154
2024,겨울,주말,15,0.7185807584269661
2024,겨울,주말,16,0.7171966705221426
2024,겨울,주말,17,0.7518522802379372
2024,겨울,주말,18,0.8715054527428939
2024,겨울,주말,19,0.980535649372108
2024,겨울,주말,20,1.0053356328486478
2024,겨울,주말,21,1.0110875330469264
2024,겨울,주말,22,0.995518134500989
2024,겨울,주말,23,0.939371323529413
2024,겨울,주말,24,0.8425470505617961
2025,봄가을,주중,1,0.702938036261491
2025,봄가을,주중,2,0.6131191266598572
2025,봄가을,주중,3,0.5537537155260471
2025,봄가을,주중,4,0.5287452119509708
2025,봄가을,주중,5,0.5200321629213487
2025,봄가을,주중,6,0.5337311797752812
2025,봄가을,주중,7,0.614249846782431
2025,봄가을,주중,8,0.7478589121552589
2025,봄가을,주중,9,0.6963254341164451
2025,봄가을,주중,10,0.6518640704800812
2025,봄가을,주중,11,0.6289973186925429
2025,봄가을,주중,12,0.619985737997957
2025,봄가을,주중,13,0.625352668539325
2025,봄가을,주중,14,0.6195044943820255
2025,봄가을,주중,15,0.6114811159346264
2025,봄가을,주중,16,0.6238748084780396
2025,봄가을,주중,17,0.6790576353421851
2025,봄가을,주중,18,0.7840696118488251
2025,봄가을,주중,19,0.9309399259448403
2025,봄가을,주중,20,1.007361248723186
2025,봄가을,주중,21,1.0169345888661872
2025,봄가을,주중,22,1.0008783324821218
2025,봄가을,주중,23,0.9439401557711975
2025,봄가을,주중,24,0.8242518513789577
2025,봄가을,주말,1,0.7354913117324283
2025,봄가을,주말,2,0.6414263783642533
2025,봄가을,주말,3,0.5844437548993989
2025,봄가을,주말,4,0.5481866997648278
2025,봄가을,주말,5,0.5340521949307533
2025,봄가을,주말,6,0.5367017245884512
2025,봄가을,주말,7,0.5647869414685125
2025,봄가을,주말,8,0.6332609419911147
2025,봄가을,주말,9,0.70993722236739
2025,봄가을,주말,10,0.7578976678860702
2025,봄가을,주말,11,0.7627232819440799
2025,봄가을,주말,12,0.7692045335772146
2025,봄가을,주말,13,0.7750064345440283
2025,봄가을,주말,14,0.7412911222889998
2025,봄가을,주말,15,0.7430632349098508
2025,봄가을,주말,16,0.7574571139273584
2025,봄가을,주말,17,0.7770270120198575
2025,봄가을,주말,18,0.8574684152077335
2025,봄가을,주말,19,0.9267209628952178
2025,봄가을,주말,20,1.001468186569115
2025,봄가을,주말,21,0.9991791873530185
2025,봄가을,주말,22,0.9872512738437428
2025,봄가을,주말,23,0.9316832375228636
2025,봄가을,주말,24,0.8146595244316696
2025,여름,주중,1,0.9414916378565239
2025,여름,주중,2,0.8170221477960251
2025,여름,주중,3,0.7386507562662058
2025,여름,주중,4,0.6895356957649087
2025,여름,주중,5,0.6668274848746758
2025,여름,주중,6,0.6659922644770966
2025,여름,주중,7,0.7375115816767507
2025,여름,주중,8,0.8802430207432994
2025,여름,주중,9,0.8807513612791675
2025,여름,주중,10,0.8755013612791719
2025,여름,주중,11,0.8684341400172846
2025,여름,주중,12,0.8846004105445111
2025,여름,주중,13,0.9092735522904064
2025,여름,주중,14,0.9211000864304231
2025,여름,주중,15,0.923474611063092
2025,여름,주중,16,0.9385996974935169
2025,여름,주중,17,1.0153409248055318
2025,여름,주중,18,1.1379097882454627
2025,여름,주중,19,1.2831826490924803
2025,여름,주중,20,1.3536205056179784
2025,여름,주중,21,1.3696674805531543
2025,여름,주중,22,1.3505406871218661
2025,여름,주중,23,1.2741796672428705
2025,여름,주중,24,1.1222987035436474
2025,여름,주말,1,0.9901990740740738
2025,여름,주말,2,0.8641441947565536
2025,여름,주말,3,0.777833593424885
2025,여름,주말,4,0.7243193404078222
2025,여름,주말,5,0.6936127236787356
2025,여름,주말,6,0.6768653766125681
2025,여름,주말,7,0.7068410840615896
2025,여름,주말,8,0.7961145443196013
2025,여름,주말,9,0.921376404494383
2025,여름,주말,10,1.0165133166874751
2025,여름,주말,11,1.0557005305867677
2025,여름,주말,12,1.0846749895963377
2025,여름,주말,13,1.1113071161048678
2025,여름,주말,14,1.12535377652934
2025,여름,주말,15,1.131388940907198
2025,여름,주말,16,1.1352223782771527
2025,여름,주말,17,1.1757652413649613
2025,여름,주말,18,1.2315300665834368
2025,여름,주말,19,1.3085587806908043
2025,여름,주말,20,1.3398564814814797
2025,여름,주말,21,1.3614414273824393
2025,여름,주말,22,1.3408327611319177
2025,여름,주말,23,1.271070692883894
2025,여름,주말,24,1.126209217644614
2025,겨울,주중,1,0.7234458616409708
2025,겨울,주중,2,0.6322832179252683
2025,겨울,주중,3,0.5791975111053045
2025,겨울,주중,4,0.5494644140318791
2025,겨울,주중,5,0.5445416775542204
2025,겨울,주중,6,0.563575401750717
2025,겨울,주중,7,0.6382043702639156
2025,겨울,주중,8,0.7831735693754919
2025,겨울,주중,9,0.763044061928402
2025,겨울,주중,10,0.6916700908021938
2025,겨울,주중,11,0.6484989874575385
2025,겨울,주중,12,0.6374865103213999
2025,겨울,주중,13,0.6315663215312258
2025,겨울,주중,14,0.6077063136921868
2025,겨울,주중,15,0.5938800627123072
2025,겨울,주중,16,0.602864335641494
2025,겨울,주중,17,0.6607599784426441
2025,겨울,주중,18,0.8036129801411019
