고객ID,연도,월,추천요금제,일반 주택용_요금원,제주 TOU(3kW)_요금원,구독 기본형_요금원,구독 프리미엄형_요금원
M0991,2024,4,구독 기본형,109691.81588260003,96277.822578,92461.80000000002,249900
M0991,2024,5,구독 기본형,89985.80389260002,86404.1758034,84900,249900
M0991,2024,6,구독 기본형,105980.22835190003,110363.94459510002,89246.70000000003,249900
M0991,2024,7,일반 주택용,146409.83201460005,165241.2622518,166927.80000000005,249900
M0991,2024,8,일반 주택용,168014.47735029997,184494.5834739,190662.90000000002,249900
M0991,2024,9,제주 TOU(3kW),195552.19153330004,140138.00511200004,166836.90000000002,249900
M0991,2024,10,제주 TOU(3kW),124043.2645795,103818.50609760001,104893.5,249900
M0991,2024,11,구독 기본형,119064.11986280001,119520.99529440001,100580.40000000001,249900
M0991,2024,12,구독 기본형,129970.99922310002,126162.19453110002,110028.30000000002,249900
M0991,2025,1,구독 기본형,147522.1639969,137703.0570349,125231.69999999998,249900
M0991,2025,2,구독 기본형,134330.21843079999,129813.10280399997,113804.4,249900
M0991,2025,3,제주 TOU(3kW),122304.00988329998,102810.48641779998,103386.89999999998,249900
M0991,2025,4,구독 기본형,112917.16016489998,97962.88457759998,95255.69999999998,249900
M0991,2025,5,구독 기본형,98670.30225220001,90665.37993380001,84900,249900
M0991,2025,6,구독 기본형,119547.59249440001,119197.0093916,100999.20000000001,249900
M0991,2025,7,일반 주택용,125133.146271,148199.63942279998,143553.0,249900
M0991,2025,8,일반 주택용,132704.34331560004,153643.94493700002,151870.80000000005,249900
M0991,2025,9,제주 TOU(3kW),156850.83076250003,120888.6900368,133312.50000000003,249900
M0991,2025,10,제주 TOU(3kW),139387.286745,111537.11789779998,118184.99999999997,249900
M0991,2025,11,구독 기본형,119807.33781940004,120267.91048720003,101224.20000000003,249900
M0991,2025,12,구독 기본형,147076.78734629997,136623.76069089997,124845.89999999997,249900
M0992,2024,1,일반 주택용,68523.99555119999,88481.83433879998,84900,249900
M0992,2024,2,구독 기본형,154600.39726670002,141708.14680889997,131363.10000000003,249900
M0992,2024,3,제주 TOU(3kW),168923.1008143,126041.48167380001,143769.9,249900
M0992,2024,4,제주 TOU(3kW),120146.0457232,101193.90274140002,101517.60000000002,249900
M0992,2024,5,제주 TOU(3kW),83965.59991330002,83060.3449396,84900,249900
M0992,2024,6,일반 주택용,72578.19750580001,93016.33743429999,84900,249900
M0992,2024,7,일반 주택용,135024.91002140005,156748.3865752,154420.20000000004,249900
M0992,2024,8,일반 주택용,144236.72424279994,163569.12604059995,164540.3999999999,249900
M0992,2024,9,제주 TOU(3kW),128648.02970110005,105853.19640560003,108882.30000000005,249900
