비식별고객ID,관측일수,시간값완전도,0사용일수,연간사용량_kWh,월평균사용량_kWh,최대시간사용량_kWh,주말/주중_일사용량비,경부하비중,중간부하비중,최대부하비중,부하율,월변동계수,하계민감도,동계민감도,일반주택용_연간요금원,제주TOU3kW_연간요금원,제주TOU5kW_연간요금원,구독기본형_연간요금원,구독프리미엄형_연간요금원,연간최저요금제,TOU대비최대절감가능액원,15일예측_MAPE,20일예측_MAPE,군집
T0332,365,0.9986301369863012,0,3201.6535,266.80445833333334,3.999,1.1917323064102614,0.4132773893239852,0.2955344792932776,0.2911881313827371,0.0913942383997826,0.8120567519127596,1.032068062033002,1.6185494418777375,671674.8399035502,774899.9271940499,891476.8071940499,1153198.9500000002,2998800.0,일반주택용,103225.08729049972,0.0806650660962151,0.0650376105959961,저사용·평탄형
T0333,365,0.9982876712328768,0,8490.26,707.5216666666666,4.047,1.1151088440327206,0.3909539283838186,0.3300045581642964,0.2790415134518849,0.239487957142841,0.2272251915224309,1.441641935105345,1.0728872056369516,2138687.6258335,1765111.65211465,1881688.53211465,1945878.0,3018760.8,제주TOU(3kW),0.0,0.0694209837066794,0.0512926859996482,야간·평탄형
T0334,365,0.9994292237442922,0,6368.128499999999,530.6773749999999,4.027,1.1472303764317564,0.3081465771301568,0.3553587996850251,0.3364946231848181,0.1805203149290236,0.1672494050463197,1.2802408298032633,1.0990995073387837,1451887.99084735,1400411.089203,1516987.969203,1312099.0499999998,2998800.0,구독기본형,88312.03920300025,0.0584368073599157,0.0381844782697096,주간·저녁활동형
T0336,365,0.9984018264840184,0,7603.831999999999,633.6526666666666,4.465,1.095830293490741,0.3978006089561158,0.2544113941496866,0.3477879968941975,0.194404781992872,0.1861179720219863,1.1997406425828028,1.395115118292194,1878259.4832022,1616033.0865231,1732609.9665231,1679949.6,2998800.0,제주TOU(3kW),0.0,0.0486054616843154,0.0347768216338267,동계난방민감형
T0337,365,0.9982876712328768,0,6849.735,570.81125,4.116,1.0921814566180372,0.2950090039979649,0.3414183906384699,0.363572605363565,0.1899740571375321,0.2798990208893576,1.6117790143893462,1.2554116216038005,1595206.0159644,1513971.0500467003,1630547.9300467002,1517133.3,2998800.0,제주TOU(3kW),0.0,0.0754072631654394,0.0549073722331729,주간·저녁활동형
T0338,365,0.9982876712328768,0,5704.4175,475.368125,3.279,1.0479208264361528,0.4011626077509228,0.2962809086116156,0.3025564836374616,0.1985938433451561,0.2142222022928114,1.3064832723232196,0.847844996329034,1219003.80338695,1237319.1674763495,1353896.04747635,1221456.3,2998800.0,일반주택용,18315.36408939981,0.0408013307945308,0.0315382846824086,야간·평탄형
T0339,365,0.9984018264840184,0,5821.404999999999,485.11708333333326,4.453,1.0223231381767344,0.4004443085475069,0.3073633426981975,0.2921923487542955,0.1492351111097438,0.2327022119722938,1.189398087767026,1.112050553588785,1260121.9021688497,1263024.73139605,1379601.6113960498,1260079.35,2998800.0,구독기본형,2945.3813960501,0.0657958208194618,0.0447213000386875,야간·평탄형
T0340,365,0.9984018264840184,0,6459.797500000001,538.3164583333333,5.991,1.0832369415203242,0.4007832288860448,0.1590623390284292,0.4401544320855258,0.1230879328886785,0.2842202268299683,1.213446074155038,1.2660756125275376,1489609.7487362,1416336.8453832502,1532913.7253832498,1440901.8,2998800.0,제주TOU(3kW),0.0,0.0606163379309905,0.039927386555167,동계난방민감형
T0341,365,0.9984018264840184,0,3959.1495,329.92912500000006,3.946,0.9425780078469382,0.5188177410325121,0.0726796247527404,0.4085026342147474,0.1145356577494809,0.2687228177106687,1.087359191912329,1.29701553383216,714318.7729971999,910281.4152257,1026858.2952257,1019535.9,2998800.0,일반주택용,195962.6422285001,0.1008081128740266,0.0581823069337839,동계난방민감형
T0343,365,0.9985159817351598,273,106.499,8.874916666666667,0.149,1.0368401551873545,0.4179288068432568,0.3351299073230734,0.2469412858336697,0.081593423431706,1.5585403372634954,0.0111003471381286,14.8622547832405,26303.77428,195523.4424395,312100.3224395,1018800.0,2998800.0,일반주택용,169219.6681595,0.2251444792855772,0.1635349643653341,특이사용형
T0344,365,0.9987442922374428,0,4643.623,386.9685833333333,3.666,1.0542194152827944,0.3387865466253397,0.2558643326557732,0.4053491207188869,0.1445973676409409,0.5050910655249236,1.9511838082120088,0.8172367927647035,895323.1290962,1078666.54557655,1195243.4255765502,1247137.2000000002,2998800.0,일반주택용,183343.41648035008,0.0791685718294348,0.0636215686056843,하계·주말집중형
T0348,365,0.9984018264840184,0,8729.841,727.48675,5.879,1.1043944582935925,0.4172069686034373,0.2931021309551914,0.2896909004413711,0.1695113440688589,0.3305390227647969,1.4808857556159911,0.849577711262411,2197283.1099961,1796405.56781385,1912982.44781385,2017752.3,3115364.7,제주TOU(3kW),0.0,0.0633067202463832,0.0527026055078226,하계·주말집중형
T0349,365,0.9984018264840184,0,6771.295,564.2745833333333,4.456,1.015801382871535,0.4078950186042698,0.2938361864311036,0.2982687949646266,0.1734692282941065,0.21999982025052,1.2038079661141343,0.8897252764534871,1586904.8791645002,1433278.0410168502,1549854.9210168505,1430188.4999999998,2998800.0,구독기본형,3089.541016850388,0.0503308904693266,0.0350494045847942,야간·평탄형
T0350,365,0.9981735159817352,0,6241.311500000002,520.1092916666668,5.284,1.120325137327334,0.3771722497747469,0.2797370392424732,0.3430907109827798,0.1348369571792505,0.2780816181695913,1.355341898804032,0.8327304995178322,1393803.2103411497,1353936.7389947,1470513.6189946998,1332752.25,2998800.0,구독기본형,21184.488994699903,0.0516707132945133,0.0358092799860962,하계·주말집중형
T0351,365,0.9968036529680364,0,4694.853,391.23775,3.723,1.2170057121810969,0.3550512657158808,0.2537914392633805,0.3911572950207386,0.1439543710146847,0.1782573548060073,1.2897977772345588,1.084290850396673,896283.3277429501,1077679.86180995,1194256.74180995,1061057.55,2998800.0,일반주택용,181396.53406700003,0.0334761174258548,0.031052396887927,주간·저녁활동형
T0353,365,0.9994292237442922,13,3363.6310000000003,280.30258333333336,3.431,0.9181156567621164,0.2448010795476673,0.4188189786572904,0.3363799417950421,0.111913769033084,1.016981443339295,1.2405367688056177,1.5624913761562629,779804.9628138001,836672.8296822,953249.7096822,1256828.4,2998800.0,일반주택용,56867.8668683999,0.1830220524422578,0.1736522127774304,저사용·평탄형
T0357,365,0.9984018264840184,0,6310.33,525.8608333333333,4.009,1.0619806020896598,0.3308269932000386,0.3282901211188639,0.3408828856810973,0.1796850351549196,0.1745689726252384,1.3371108025479168,1.1800575585687978,1427466.6894092504,1388168.5132787502,1504745.39327875,1322014.9500000002,2998800.0,구독기본형,66153.56327875005,0.0498455005091358,0.0296584199664009,주간·저녁활동형
T0359,365,0.9992009132420092,0,6088.721999999999,507.3934999999999,5.179,1.0295738455281238,0.3101126968845022,0.3472397820100835,0.3426475211054143,0.1342072965902869,0.2201957876838434,1.0841696736224906,1.3878374493638916,1378378.6386118,1350401.7035649,1466978.5835649,1308890.1,2998800.0,구독기본형,41511.60356489988,0.080068582539336,0.0444729298782691,동계난방민감형
T0360,365,0.9988584474885844,0,9106.3225,758.8602083333334,5.3,1.0744380127774604,0.3624102924094769,0.3144877638585718,0.3231019437319513,0.1961385909365038,0.2488734899361688,1.3127774854709635,1.319802802190167,2360670.67312475,1912090.3732178505,2028667.2532178503,2136340.05,3010150.8,제주TOU(3kW),0.0,0.0818658347704904,0.0650428631105741,동계난방민감형
