고객ID,2024관측일수,2025관측일수,2024시간값완전도,2025시간값완전도,2개년핵심표본
M0504,364,347,0.9871794871794872,0.9903938520653218,N
M0505,366,365,1.0,1.0,Y
M0506,364,347,0.9871794871794872,0.9903938520653218,N
M0507,364,347,0.9871794871794872,0.9903938520653218,N
M0508,366,365,1.0,1.0,Y
M0509,366,365,1.0,1.0,Y
M0510,364,347,0.987408424908425,0.9903938520653218,N
M0511,364,347,0.9871794871794872,0.9903938520653218,N
M0512,366,365,1.0,1.0,Y
M0513,366,365,1.0,1.0,Y
M0514,366,365,1.0,1.0,Y
M0515,366,365,1.0,1.0,Y
M0516,366,347,1.0,0.9966378482228626,N
M0517,366,347,1.0,0.9966378482228626,N
M0518,366,365,1.0,1.0,Y
M0519,366,365,1.0,1.0,Y
M0520,366,347,1.0,0.9966378482228626,N
M0521,366,347,1.0,0.9966378482228626,N
M0522,366,365,1.0,1.0,Y
M0523,366,365,1.0,1.0,Y
M0524,366,347,1.0,0.9966378482228626,N
M0525,366,365,1.0,1.0,Y
M0526,366,365,1.0,1.0,Y
M0527,366,365,0.9989754098360656,0.9986301369863013,Y
M0528,366,365,0.9990892531876139,0.998972602739726,Y
M0529,366,365,0.998747723132969,0.9979452054794521,Y
M0530,366,365,1.0,1.0,Y
M0531,366,358,0.9990892531876139,0.9972067039106145,N
M0532,243,108,0.9967421124828533,0.9907407407407407,N
M0533,366,365,0.9978369763205829,0.9992009132420091,Y
M0534,346,323,0.9951830443159922,0.9983230134158927,N
M0535,366,365,0.9985200364298725,0.9981735159817352,Y
M0536,366,365,0.9985200364298725,0.9982876712328768,Y
M0537,366,365,0.9986338797814208,0.9984018264840183,Y
M0538,366,365,0.9992030965391621,0.9992009132420091,Y
M0539,366,365,0.9985200364298725,0.9982876712328768,Y
M0540,330,365,0.9597222222222223,0.9947488584474886,N
M0541,366,365,0.9907786885245902,0.9958904109589041,N
M0542,273,365,0.9624542124542125,0.9915525114155251,N
M0543,366,365,1.0,1.0,Y
M0544,366,365,0.998747723132969,0.9986301369863013,Y
M0545,366,365,0.9982923497267759,0.9968036529680365,Y
M0546,366,365,0.953551912568306,0.9940639269406393,N
M0547,366,365,0.9989754098360656,0.9985159817351598,Y
M0548,366,365,0.9992030965391621,0.9994292237442922,Y
M0549,362,365,0.9955110497237569,0.9981735159817352,N
M0550,343,342,0.4030612244897959,0.870004873294347,N
M0551,366,365,0.9974954462659381,0.9985159817351598,Y
M0552,366,365,0.9988615664845173,0.9960045662100456,Y
M0553,123,365,1.0,0.9986301369863013,N
M0554,366,365,0.9997723132969034,0.9998858447488584,Y
M0555,366,365,0.9985200364298725,0.9982876712328768,Y
M0556,366,365,0.9982923497267759,0.9976027397260274,Y
M0557,366,365,0.9998861566484517,1.0,Y
M0558,366,365,0.9985200364298725,0.9984018264840183,Y
M0559,366,365,0.9986338797814208,0.9984018264840183,Y
M0560,366,365,1.0,1.0,Y
M0561,365,365,0.9875570776255708,0.9865296803652968,N
M0562,366,365,0.9970400728597449,0.9981735159817352,Y
M0563,366,365,0.9961293260473588,0.9985159817351598,Y
M0564,366,365,0.998747723132969,0.9984018264840183,Y
M0565,302,365,0.9957229580573952,0.9964611872146119,N
M0566,366,365,0.9985200364298725,0.9984018264840183,Y
M0567,366,365,0.998747723132969,0.9982876712328768,Y
M0568,366,365,0.998747723132969,0.9949771689497717,N
M0569,366,365,0.998747723132969,0.9985159817351598,Y
M0570,366,365,0.9968123861566485,0.9965753424657534,Y
M0571,366,365,0.9982923497267759,0.9980593607305936,Y
M0572,146,365,0.997431506849315,0.9988584474885844,N
M0573,366,365,0.998747723132969,0.9981735159817352,Y
M0574,83,365,0.9909638554216867,0.9968036529680365,N
M0575,366,365,0.9985200364298725,0.9987442922374429,Y
M0576,366,365,0.9990892531876139,0.9986301369863013,Y
M0577,366,365,0.9990892531876139,0.9986301369863013,Y
M0578,366,365,0.9817850637522769,0.9884703196347032,N
M0579,366,365,1.0,1.0,Y
M0580,366,365,0.9985200364298725,0.9984018264840183,Y
M0581,363,365,0.9972451790633609,0.9982876712328768,N
